asset_id,asset_type,zone,criticality,vendor_supported,owner_group,firmware_family,maintenance_window,internet_exposed
CRANE01,CRANE,CRANE-ZONE,CRITICAL,YES,OT Engineering,FW-4.3,06:00-18:00,NO
CRANE02,CRANE,CRANE-ZONE,CRITICAL,YES,OT Engineering,FW-4.2,06:00-18:00,NO
CRANE03,CRANE,CRANE-ZONE,CRITICAL,YES,OT Engineering,FW-7.1,06:00-18:00,NO
CRANE04,CRANE,CRANE-ZONE,CRITICAL,YES,OT Engineering,FW-7.4,06:00-18:00,NO
CRANE05,CRANE,CRANE-ZONE,CRITICAL,YES,OT Engineering,FW-4.6,06:00-18:00,NO
CRANE06,CRANE,CRANE-ZONE,CRITICAL,YES,OT Engineering,FW-5.9,06:00-18:00,NO
CRANE07,CRANE,CRANE-ZONE,CRITICAL,YES,OT Engineering,FW-5.1,06:00-18:00,NO
CRANE08,CRANE,CRANE-ZONE,CRITICAL,YES,OT Engineering,FW-7.8,06:00-18:00,NO
PLC01,PLC,OT-ZONE,CRITICAL,YES,OT Engineering,FW-4.3,06:00-18:00,NO
PLC02,PLC,OT-ZONE,CRITICAL,YES,OT Engineering,FW-7.2,06:00-18:00,NO
PLC03,PLC,OT-ZONE,CRITICAL,YES,OT Engineering,FW-7.6,06:00-18:00,NO
PLC04,PLC,OT-ZONE,CRITICAL,YES,OT Engineering,FW-5.6,06:00-18:00,NO
PLC05,PLC,OT-ZONE,CRITICAL,YES,OT Engineering,FW-6.3,06:00-18:00,NO
PLC06,PLC,OT-ZONE,CRITICAL,YES,OT Engineering,FW-7.3,06:00-18:00,NO
PLC07,PLC,OT-ZONE,CRITICAL,YES,OT Engineering,FW-5.8,06:00-18:00,NO
PLC08,PLC,OT-ZONE,CRITICAL,YES,OT Engineering,FW-7.5,06:00-18:00,NO
PLC09,PLC,OT-ZONE,CRITICAL,YES,OT Engineering,FW-5.5,06:00-18:00,NO
PLC10,PLC,OT-ZONE,CRITICAL,YES,OT Engineering,FW-4.3,06:00-18:00,NO
PLC11,PLC,OT-ZONE,CRITICAL,YES,OT Engineering,FW-4.7,06:00-18:00,NO
PLC12,PLC,OT-ZONE,CRITICAL,YES,OT Engineering,FW-4.4,06:00-18:00,NO
YARD-01,YARD_CONTROLLER,YARD-C,HIGH,NO,Yard Operations,FW-7.0,06:00-18:00,NO
YARD-02,YARD_CONTROLLER,YARD-C,HIGH,NO,Yard Operations,FW-3.6,06:00-18:00,NO
YARD-03,YARD_CONTROLLER,YARD-C,HIGH,NO,Yard Operations,FW-7.4,06:00-18:00,NO
YARD-04,YARD_CONTROLLER,YARD-C,HIGH,NO,Yard Operations,FW-5.0,06:00-18:00,NO
YARD-05,YARD_CONTROLLER,YARD-C,HIGH,NO,Yard Operations,FW-7.7,06:00-18:00,NO
YARD-06,YARD_CONTROLLER,YARD-C,HIGH,NO,Yard Operations,FW-5.5,06:00-18:00,NO
YARD-07,YARD_CONTROLLER,YARD-C,HIGH,NO,Yard Operations,FW-6.3,06:00-18:00,NO
YARD-08,YARD_CONTROLLER,YARD-C,HIGH,NO,Yard Operations,FW-4.8,06:00-18:00,NO
