event_id,timestamp,container_id,yard_zone,gate_event,cargo_status,manifest_change,action,destination_code,event_label,incident_id
CARGO-00000,2026-06-02T13:41:19Z,CONT-005198,YARD-A,GATE_OUT,RECEIVED,NO,GATE_OUT,DST-C,NORMAL,
CARGO-00001,2026-06-15T05:43:24Z,CONT-001468,YARD-C,GATE_IN,RECEIVED,NO,UNLOAD,DST-D,NORMAL,
CARGO-00002,2026-06-16T06:13:50Z,CONT-006260,YARD-C,NONE,IN_YARD,NO,GATE_OUT,DST-A,NORMAL,
CARGO-00003,2026-06-18T01:21:11Z,CONT-007965,YARD-C,GATE_OUT,HOLD,NO,GATE_OUT,DST-A,NORMAL,
CARGO-00004,2026-06-24T15:23:41Z,CONT-003575,YARD-C,GATE_IN,HOLD,NO,GATE_OUT,DST-D,NORMAL,
CARGO-00005,2026-06-21T13:15:53Z,CONT-008894,YARD-C,NONE,HOLD,NO,GATE_IN,DST-C,NORMAL,
CARGO-00006,2026-06-16T09:42:45Z,CONT-006538,YARD-A,GATE_IN,IN_YARD,NO,UNLOAD,DST-C,NORMAL,
CARGO-00007,2026-06-19T05:32:31Z,CONT-005544,YARD-B,GATE_OUT,CLEARED,NO,UNLOAD,DST-C,NORMAL,
CARGO-00008,2026-06-06T22:11:57Z,CONT-000175,YARD-A,GATE_IN,IN_YARD,NO,GATE_OUT,DST-B,NORMAL,
CARGO-00009,2026-06-11T04:05:39Z,CONT-006540,YARD-C,NONE,LOADED,NO,MANIFEST_REVIEW,DST-A,NORMAL,
CARGO-00010,2026-06-23T21:01:47Z,CONT-001615,YARD-C,GATE_IN,CLEARED,NO,GATE_OUT,DST-C,NORMAL,
CARGO-00011,2026-06-29T14:08:19Z,CONT-000320,YARD-B,GATE_OUT,RECEIVED,NO,UNLOAD,DST-D,NORMAL,
CARGO-00012,2026-06-27T17:11:31Z,CONT-001664,YARD-A,NONE,IN_YARD,NO,UNLOAD,DST-A,NORMAL,
CARGO-00013,2026-06-26T18:20:36Z,CONT-003013,YARD-B,GATE_IN,HOLD,NO,GATE_OUT,DST-A,NORMAL,
CARGO-00014,2026-06-28T12:34:46Z,CONT-008102,YARD-A,GATE_IN,LOADED,NO,LOAD,DST-C,NORMAL,
CARGO-00015,2026-06-11T13:42:22Z,CONT-008776,YARD-A,GATE_OUT,LOADED,YES,MANIFEST_CHANGE,DST-A,NORMAL,
CARGO-00016,2026-06-27T21:34:01Z,CONT-002991,YARD-B,NONE,RECEIVED,NO,UNLOAD,DST-A,NORMAL,
CARGO-00017,2026-06-09T08:03:25Z,CONT-007902,YARD-B,GATE_OUT,LOADED,NO,YARD_MOVE,DST-D,NORMAL,
CARGO-00018,2026-06-13T03:38:53Z,CONT-003502,YARD-C,NONE,LOADED,NO,MANIFEST_REVIEW,DST-A,NORMAL,
CARGO-00019,2026-06-16T08:35:18Z,CONT-001698,YARD-B,GATE_IN,LOADED,YES,MANIFEST_CHANGE,DST-D,NORMAL,
CARGO-00020,2026-06-16T07:57:25Z,CONT-004094,YARD-B,GATE_IN,HOLD,NO,YARD_MOVE,DST-A,NORMAL,
CARGO-00021,2026-06-29T10:10:29Z,CONT-005890,YARD-C,GATE_IN,HOLD,NO,GATE_IN,DST-A,NORMAL,
CARGO-00022,2026-06-20T22:17:12Z,CONT-001058,YARD-A,GATE_OUT,IN_YARD,NO,YARD_MOVE,DST-B,NORMAL,
CARGO-00023,2026-06-22T00:08:46Z,CONT-003195,YARD-A,NONE,HOLD,NO,YARD_MOVE,DST-C,NORMAL,
CARGO-00024,2026-06-03T08:31:08Z,CONT-002416,YARD-C,GATE_IN,HOLD,NO,UNLOAD,DST-D,NORMAL,
CARGO-00025,2026-06-25T21:14:33Z,CONT-006523,YARD-A,NONE,CLEARED,NO,YARD_MOVE,DST-C,NORMAL,
CARGO-00026,2026-06-11T06:50:30Z,CONT-002558,YARD-A,NONE,RECEIVED,YES,MANIFEST_CHANGE,DST-C,NORMAL,
CARGO-00027,2026-06-09T16:35:14Z,CONT-003576,YARD-B,GATE_OUT,RECEIVED,YES,MANIFEST_CHANGE,DST-C,NORMAL,
CARGO-00028,2026-06-30T09:54:45Z,CONT-007671,YARD-B,NONE,HOLD,NO,YARD_MOVE,DST-B,NORMAL,
CARGO-00029,2026-06-26T00:00:27Z,CONT-002948,YARD-A,NONE,IN_YARD,NO,GATE_OUT,DST-C,NORMAL,
CARGO-00030,2026-06-06T15:14:04Z,CONT-005679,YARD-A,GATE_IN,CLEARED,NO,LOAD,DST-C,NORMAL,
CARGO-00031,2026-06-29T04:17:49Z,CONT-004217,YARD-C,GATE_IN,IN_YARD,NO,GATE_IN,DST-A,NORMAL,
CARGO-00032,2026-06-18T00:29:28Z,CONT-003116,YARD-A,GATE_IN,HOLD,YES,MANIFEST_CHANGE,DST-B,SUSPICIOUS,
CARGO-00033,2026-06-12T07:23:21Z,CONT-002569,YARD-B,GATE_OUT,IN_YARD,NO,UNLOAD,DST-B,NORMAL,
CARGO-00034,2026-06-25T15:45:14Z,CONT-000027,YARD-A,NONE,RECEIVED,NO,GATE_IN,DST-A,NORMAL,
CARGO-00035,2026-06-03T11:44:25Z,CONT-004352,YARD-B,GATE_IN,IN_YARD,NO,UNLOAD,DST-D,NORMAL,
CARGO-00036,2026-06-15T20:29:59Z,CONT-006697,YARD-A,GATE_OUT,IN_YARD,NO,GATE_IN,DST-C,NORMAL,
CARGO-00037,2026-06-15T15:05:06Z,CONT-002229,YARD-C,GATE_OUT,HOLD,NO,GATE_OUT,DST-B,NORMAL,
CARGO-00038,2026-06-30T03:28:58Z,CONT-006615,YARD-A,GATE_IN,IN_YARD,NO,MANIFEST_REVIEW,DST-D,NORMAL,
CARGO-00039,2026-06-18T00:22:15Z,CONT-004164,YARD-A,NONE,CLEARED,NO,YARD_MOVE,DST-D,NORMAL,
CARGO-00040,2026-06-03T01:59:36Z,CONT-003672,YARD-B,GATE_IN,IN_YARD,YES,MANIFEST_CHANGE,DST-A,NORMAL,
CARGO-00041,2026-06-29T11:42:34Z,CONT-006310,YARD-A,GATE_IN,HOLD,NO,UNLOAD,DST-A,NORMAL,
CARGO-00042,2026-06-06T17:31:05Z,CONT-002380,YARD-C,GATE_IN,HOLD,NO,GATE_OUT,DST-D,NORMAL,
CARGO-00043,2026-06-03T03:06:45Z,CONT-005401,YARD-C,NONE,HOLD,NO,MANIFEST_REVIEW,DST-C,NORMAL,
CARGO-00044,2026-06-10T18:14:27Z,CONT-005112,YARD-C,GATE_IN,RECEIVED,NO,LOAD,DST-B,NORMAL,
CARGO-00045,2026-06-12T04:40:43Z,CONT-002739,YARD-C,GATE_IN,CLEARED,NO,MANIFEST_REVIEW,DST-A,NORMAL,
CARGO-00046,2026-06-10T18:29:11Z,CONT-007399,YARD-C,GATE_OUT,RECEIVED,YES,MANIFEST_CHANGE,DST-D,NORMAL,
CARGO-00047,2026-06-05T18:00:03Z,CONT-008377,YARD-C,GATE_OUT,CLEARED,NO,YARD_MOVE,DST-B,NORMAL,
