event_id,timestamp,device_id,hostname,user_id,process_name,parent_process,alert_type,severity,event_label,incident_id
EDR-00000,2026-06-22T15:47:47Z,DEV0068,PORT-DEV0068,ACC0013,ssh,explorer.exe,SERVICE_EVENT,LOW,NORMAL,
EDR-00001,2026-06-12T00:27:53Z,DEV0053,PORT-DEV0053,ACC0037,sensor_service,yard_client,SERVICE_EVENT,LOW,NORMAL,
EDR-00002,2026-06-21T20:29:28Z,DEV0010,PORT-DEV0010,ACC0004,browser,yard_client,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00003,2026-06-29T00:23:59Z,DEV0005,PORT-DEV0005,ACC0032,rdp,vendor_agent,NONE,LOW,NORMAL,
EDR-00004,2026-06-14T13:21:18Z,DEV0041,PORT-DEV0041,ACC0057,ssh,explorer.exe,NONE,LOW,NORMAL,
EDR-00005,2026-06-02T07:50:34Z,DEV0098,PORT-DEV0098,ACC0051,ssh,vendor_agent,LOGIN,LOW,NORMAL,
EDR-00006,2026-06-24T09:00:06Z,DEV0075,PORT-DEV0075,ACC0036,plc_tool,services.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00007,2026-06-27T11:49:27Z,DEV0080,PORT-DEV0080,ACC0046,sensor_service,yard_client,SERVICE_EVENT,LOW,NORMAL,
EDR-00008,2026-06-08T14:10:37Z,DEV0092,PORT-DEV0092,ACC0043,vendor_agent,services.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00009,2026-06-16T06:24:19Z,DEV0015,PORT-DEV0015,ACC0003,browser,yard_client,LOGIN,LOW,NORMAL,
EDR-00010,2026-06-08T22:19:04Z,DEV0015,PORT-DEV0015,ACC0019,plc_tool,vendor_agent,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00011,2026-06-09T08:20:14Z,DEV0017,PORT-DEV0017,ACC0001,ssh,explorer.exe,SERVICE_EVENT,LOW,NORMAL,
EDR-00012,2026-06-08T09:33:07Z,DEV0037,PORT-DEV0037,ACC0006,powershell_sim,yard_client,UNUSUAL_PARENT_PROCESS,MEDIUM,SUSPICIOUS,
EDR-00013,2026-06-11T12:12:52Z,DEV0079,PORT-DEV0079,ACC0036,ssh,explorer.exe,NONE,LOW,NORMAL,
EDR-00014,2026-06-09T18:15:44Z,DEV0042,PORT-DEV0042,ACC0054,vendor_agent,services.exe,NONE,LOW,NORMAL,
EDR-00015,2026-06-17T05:08:11Z,DEV0044,PORT-DEV0044,ACC0049,vendor_agent,explorer.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00016,2026-06-06T10:39:22Z,DEV0016,PORT-DEV0016,ACC0021,plc_tool,yard_client,NONE,LOW,NORMAL,
EDR-00017,2026-06-02T05:03:06Z,DEV0080,PORT-DEV0080,ACC0039,plc_tool,yard_client,NONE,LOW,NORMAL,
EDR-00018,2026-06-19T07:56:00Z,DEV0002,PORT-DEV0002,ACC0034,powershell_sim,yard_client,UNUSUAL_PARENT_PROCESS,HIGH,SUSPICIOUS,
EDR-00019,2026-06-27T15:34:15Z,DEV0077,PORT-DEV0077,ACC0022,yard_client,vendor_agent,SERVICE_EVENT,LOW,NORMAL,
