event_id,timestamp,asset_id,command_type,alarm_code,process_state,operator_id,severity,command_sequence_valid,event_label,incident_id
OT-00000,2026-06-10T07:53:34Z,YARD-05,STOP,NONE,IDLE,OP027,LOW,YES,NORMAL,
OT-00001,2026-06-21T08:22:14Z,YARD-06,HOIST_UP,NONE,IDLE,OP025,LOW,YES,NORMAL,
OT-00002,2026-06-19T16:05:01Z,PLC12,SPEED_SET,ALM-101,IDLE,OP015,MEDIUM,YES,NORMAL,
OT-00003,2026-06-04T05:13:24Z,YARD-01,STOP,NONE,IDLE,OP040,LOW,YES,NORMAL,
OT-00004,2026-06-11T00:18:07Z,CRANE05,HOIST_UP,NONE,RUNNING,OP021,LOW,YES,NORMAL,
OT-00005,2026-06-18T14:44:43Z,PLC09,SPEED_SET,NONE,NORMAL,OP035,LOW,YES,NORMAL,
OT-00006,2026-06-12T15:52:16Z,CRANE04,SPEED_SET,NONE,RUNNING,OP026,LOW,YES,NORMAL,
OT-00007,2026-06-08T08:25:26Z,YARD-02,STATUS_READ,NONE,IDLE,OP022,LOW,YES,NORMAL,
OT-00008,2026-06-06T21:05:00Z,YARD-07,MOVE_RIGHT,NONE,RUNNING,OP038,LOW,YES,NORMAL,
OT-00009,2026-06-10T03:12:28Z,PLC06,SPEED_SET,NONE,IDLE,OP032,LOW,YES,NORMAL,
OT-00010,2026-06-24T08:14:32Z,PLC04,IDLE,NONE,NORMAL,OP036,LOW,YES,NORMAL,
OT-00011,2026-06-05T22:51:27Z,CRANE03,EMERGENCY_STOP,ALM-418,SAFE_STOP,OP018,CRITICAL,NO,SUSPICIOUS,INC-T21-001
OT-00012,2026-06-14T05:04:26Z,CRANE02,IDLE,NONE,RUNNING,OP002,LOW,YES,NORMAL,
OT-00013,2026-06-30T00:42:57Z,PLC09,SPEED_SET,NONE,IDLE,OP027,LOW,YES,NORMAL,
OT-00014,2026-06-22T04:45:04Z,CRANE01,HOIST_DOWN,NONE,RUNNING,OP034,LOW,YES,NORMAL,
OT-00015,2026-06-17T20:05:58Z,CRANE01,STOP,NONE,IDLE,OP005,LOW,YES,NORMAL,
OT-00016,2026-06-07T20:31:00Z,CRANE02,HOIST_UP,NONE,IDLE,OP012,LOW,YES,NORMAL,
OT-00017,2026-06-01T15:10:02Z,PLC02,MOVE_LEFT,NONE,IDLE,OP013,LOW,YES,NORMAL,
OT-00018,2026-06-15T20:11:55Z,YARD-07,HOIST_UP,NONE,NORMAL,OP024,LOW,YES,NORMAL,
OT-00019,2026-06-07T23:54:34Z,PLC01,PLC_MODE_CHANGE,ALM-509,ABNORMAL,OP022,CRITICAL,NO,SUSPICIOUS,
OT-00020,2026-06-08T03:22:04Z,YARD-04,HOIST_UP,NONE,NORMAL,OP025,LOW,YES,NORMAL,
OT-00021,2026-06-11T05:19:51Z,PLC02,MOVE_RIGHT,NONE,RUNNING,OP004,LOW,YES,NORMAL,
OT-00022,2026-06-25T13:30:24Z,PLC09,STATUS_READ,NONE,NORMAL,OP038,LOW,YES,NORMAL,
OT-00023,2026-06-18T09:11:04Z,YARD-05,HOIST_DOWN,NONE,NORMAL,OP040,LOW,YES,NORMAL,
OT-00024,2026-06-24T11:42:43Z,CRANE03,IDLE,NONE,IDLE,OP027,LOW,YES,NORMAL,
OT-00025,2026-06-26T12:41:22Z,YARD-05,IDLE,NONE,RUNNING,OP007,LOW,YES,NORMAL,
OT-00026,2026-06-03T15:08:01Z,YARD-08,IDLE,NONE,NORMAL,OP017,LOW,YES,NORMAL,
OT-00027,2026-06-14T21:58:52Z,YARD-07,OUT_OF_SEQUENCE,ALM-311,ABNORMAL,OP036,CRITICAL,NO,SUSPICIOUS,
OT-00028,2026-06-14T07:18:58Z,PLC04,STATUS_READ,NONE,NORMAL,OP038,LOW,YES,NORMAL,
OT-00029,2026-06-08T03:30:15Z,PLC06,SPEED_SET,NONE,RUNNING,OP019,LOW,YES,NORMAL,
OT-00030,2026-06-01T19:50:39Z,PLC12,HOIST_DOWN,NONE,RUNNING,OP013,LOW,YES,NORMAL,
OT-00031,2026-06-23T05:53:10Z,YARD-07,HOIST_UP,NONE,IDLE,OP001,LOW,YES,NORMAL,
OT-00032,2026-06-12T02:41:12Z,PLC07,STATUS_READ,NONE,RUNNING,OP035,LOW,YES,NORMAL,
OT-00033,2026-06-13T14:02:09Z,CRANE06,MOVE_LEFT,NONE,NORMAL,OP007,LOW,YES,NORMAL,
OT-00034,2026-06-07T11:22:54Z,CRANE07,HOIST_DOWN,NONE,NORMAL,OP025,LOW,YES,NORMAL,
OT-00035,2026-06-02T18:30:46Z,PLC03,OUT_OF_SEQUENCE,ALM-418,DEGRADED,OP028,CRITICAL,NO,SUSPICIOUS,
OT-00036,2026-06-08T23:12:10Z,CRANE05,MOVE_LEFT,NONE,RUNNING,OP016,LOW,YES,NORMAL,
OT-00037,2026-06-01T10:38:35Z,CRANE01,MOVE_RIGHT,NONE,RUNNING,OP007,LOW,YES,NORMAL,
OT-00038,2026-06-30T03:55:47Z,PLC06,UNAUTHORIZED_COMMAND,ALM-418,ABNORMAL,OP033,HIGH,NO,SUSPICIOUS,
OT-00039,2026-06-29T09:19:58Z,PLC03,HOIST_UP,NONE,NORMAL,OP021,LOW,YES,NORMAL,
OT-00040,2026-06-11T01:43:13Z,CRANE02,MOVE_LEFT,NONE,NORMAL,OP013,LOW,YES,NORMAL,
OT-00041,2026-06-24T05:05:32Z,CRANE08,OUT_OF_SEQUENCE,ALM-509,SAFE_STOP,OP017,CRITICAL,NO,SUSPICIOUS,
OT-00042,2026-06-21T04:02:57Z,PLC05,IDLE,NONE,NORMAL,OP009,LOW,YES,NORMAL,
OT-00043,2026-06-20T09:12:22Z,CRANE01,IDLE,NONE,IDLE,OP012,LOW,YES,NORMAL,
OT-00044,2026-06-03T09:08:17Z,PLC08,HOIST_UP,NONE,IDLE,OP008,LOW,YES,NORMAL,
OT-00045,2026-06-26T13:01:08Z,YARD-05,IDLE,NONE,IDLE,OP032,LOW,YES,NORMAL,
OT-00046,2026-06-08T18:34:19Z,PLC03,SPEED_SET,NONE,NORMAL,OP030,LOW,YES,NORMAL,
OT-00047,2026-06-25T06:44:58Z,PLC11,MOVE_LEFT,NONE,NORMAL,OP038,LOW,YES,NORMAL,
OT-00048,2026-06-18T00:35:37Z,CRANE06,HOIST_UP,NONE,IDLE,OP035,LOW,YES,NORMAL,
OT-00049,2026-06-21T02:00:04Z,YARD-06,HOIST_UP,NONE,IDLE,OP029,LOW,YES,NORMAL,
OT-00050,2026-06-19T14:01:27Z,YARD-02,MOVE_RIGHT,NONE,IDLE,OP006,LOW,YES,NORMAL,
OT-00051,2026-06-03T17:32:10Z,YARD-02,STATUS_READ,NONE,RUNNING,OP033,LOW,YES,NORMAL,
OT-00052,2026-06-20T01:44:07Z,YARD-02,SPEED_SET,NONE,NORMAL,OP025,LOW,YES,NORMAL,
