event_id,timestamp,badge_id,person_type,gate_id,zone,access_result,direction,event_label,incident_id
PHY-00000,2026-06-04T07:09:52Z,BADGE-0068,Operator,GATE-01,CRANE-ZONE,GRANTED,OUT,NORMAL,
PHY-00001,2026-06-14T21:36:46Z,BADGE-0019,Security,GATE-01,CONTROL-ROOM,GRANTED,OUT,NORMAL,
PHY-00002,2026-06-24T18:16:54Z,BADGE-0044,Operator,GATE-02,OT-ZONE,GRANTED,OUT,NORMAL,
PHY-00003,2026-06-23T08:52:20Z,BADGE-0053,Operator,GATE-02,YARD-B,GRANTED,IN,NORMAL,
PHY-00004,2026-06-09T10:03:54Z,BADGE-0019,Vendor,GATE-02,GATE-B,GRANTED,OUT,NORMAL,
PHY-00005,2026-06-06T20:23:35Z,BADGE-0059,Security,GATE-03,CRANE-ZONE,GRANTED,OUT,NORMAL,
PHY-00006,2026-06-14T03:51:58Z,BADGE-0004,Engineer,GATE-04,YARD-B,GRANTED,IN,NORMAL,
PHY-00007,2026-06-10T19:16:31Z,BADGE-0122,Operator,GATE-03,CONTROL-ROOM,GRANTED,IN,NORMAL,
PHY-00008,2026-06-04T03:18:08Z,BADGE-0146,Operator,GATE-02,YARD-C,GRANTED,IN,NORMAL,
PHY-00009,2026-06-20T13:23:23Z,BADGE-0061,Security,GATE-03,YARD-C,GRANTED,OUT,NORMAL,
PHY-00010,2026-06-29T00:26:57Z,BADGE-0004,Engineer,GATE-03,YARD-A,GRANTED,IN,NORMAL,
PHY-00011,2026-06-25T13:54:56Z,BADGE-0079,Operator,GATE-02,GATE-B,GRANTED,OUT,NORMAL,
PHY-00012,2026-06-08T20:50:10Z,BADGE-0147,Operator,GATE-01,CONTROL-ROOM,GRANTED,OUT,NORMAL,
PHY-00013,2026-06-13T17:45:23Z,BADGE-0132,Security,GATE-04,OT-ZONE,GRANTED,IN,NORMAL,
PHY-00014,2026-06-08T11:23:34Z,BADGE-0102,Security,GATE-03,YARD-A,GRANTED,IN,NORMAL,
PHY-00015,2026-06-14T14:23:43Z,BADGE-0083,Engineer,GATE-02,GATE-B,GRANTED,IN,NORMAL,
PHY-00016,2026-06-19T02:43:50Z,BADGE-0025,Engineer,GATE-03,CRANE-ZONE,GRANTED,OUT,NORMAL,
PHY-00017,2026-06-20T03:41:38Z,BADGE-0141,Engineer,GATE-01,YARD-A,GRANTED,IN,NORMAL,
PHY-00018,2026-06-12T22:17:35Z,BADGE-0032,Engineer,GATE-01,CRANE-ZONE,GRANTED,IN,NORMAL,
PHY-00019,2026-06-29T18:36:17Z,BADGE-0030,Security,GATE-02,GATE-B,GRANTED,IN,NORMAL,
PHY-00020,2026-06-19T11:40:08Z,BADGE-0124,Engineer,GATE-03,YARD-B,GRANTED,OUT,NORMAL,
PHY-00021,2026-06-26T19:22:45Z,BADGE-0076,Security,GATE-02,GATE-B,GRANTED,IN,NORMAL,
PHY-00022,2026-06-10T04:25:51Z,BADGE-0111,Operator,GATE-04,GATE-B,GRANTED,OUT,NORMAL,
PHY-00023,2026-06-18T10:44:13Z,BADGE-0105,Operator,GATE-02,OT-ZONE,GRANTED,OUT,NORMAL,
PHY-00024,2026-06-20T07:45:21Z,BADGE-0121,Vendor,GATE-04,YARD-C,GRANTED,IN,NORMAL,
PHY-00025,2026-06-16T20:44:15Z,BADGE-0143,Vendor,GATE-02,YARD-C,GRANTED,IN,NORMAL,
