event_id,timestamp,vendor_id,account_id,source_ip,device_id,auth_result,MFA_status,session_duration_sec,role,access_zone,off_hours,new_device,event_label,incident_id
VPN-00000,2026-06-19T05:15:05Z,V010,ACC0044,192.0.2.10,DEV0087,SUCCESS,YES,95,AutomationVendor,YARD-A,YES,NO,NORMAL,
VPN-00001,2026-06-09T06:14:15Z,V019,ACC0047,192.0.2.11,DEV0093,SUCCESS,YES,27,MaintenanceVendor,YARD-A,NO,NO,NORMAL,
VPN-00002,2026-06-04T14:41:26Z,V002,ACC0048,192.0.2.12,DEV0095,SUCCESS,YES,81,NetworkVendor,GATE-B,NO,NO,NORMAL,
VPN-00003,2026-06-09T15:36:50Z,V007,ACC0043,192.0.2.13,DEV0085,SUCCESS,YES,145,NetworkVendor,OT-ZONE,NO,NO,NORMAL,
VPN-00004,2026-06-11T02:00:19Z,V010,ACC0004,192.0.2.14,DEV0007,SUCCESS,YES,5,AutomationVendor,YARD-B,YES,NO,NORMAL,
VPN-00005,2026-06-07T20:17:09Z,V010,ACC0024,192.0.2.15,DEV0047,SUCCESS,YES,32,AutomationVendor,GATE-A,YES,NO,NORMAL,
VPN-00006,2026-06-19T21:19:45Z,V007,ACC0043,192.0.2.16,DEV0085,SUCCESS,YES,62,NetworkVendor,GATE-B,YES,NO,NORMAL,
VPN-00007,2026-06-13T02:39:59Z,V011,ACC0031,192.0.2.17,DEV0061,SUCCESS,YES,155,CraneVendor,YARD-B,YES,NO,NORMAL,
VPN-00008,2026-06-08T22:39:13Z,V007,ACC0023,192.0.2.18,DEV0045,SUCCESS,YES,175,NetworkVendor,GATE-A,YES,NO,NORMAL,
VPN-00009,2026-06-20T10:02:54Z,V015,ACC0019,192.0.2.19,DEV0037,SUCCESS,YES,71,AutomationVendor,OT-ZONE,NO,NO,NORMAL,
VPN-00010,2026-06-21T19:16:52Z,V011,ACC0011,192.0.2.20,DEV0021,SUCCESS,YES,53,CraneVendor,GATE-A,NO,NO,NORMAL,
VPN-00011,2026-06-18T21:18:39Z,V020,ACC0014,192.0.2.21,DEV0027,SUCCESS,YES,23,AutomationVendor,CONTROL-ROOM,YES,NO,NORMAL,
VPN-00012,2026-06-01T06:55:38Z,V014,ACC0032,192.0.2.22,DEV0063,SUCCESS,YES,10,MaintenanceVendor,GATE-B,NO,NO,NORMAL,
VPN-00013,2026-06-20T14:26:05Z,V009,ACC0057,192.0.2.23,DEV0013,SUCCESS,YES,162,MaintenanceVendor,OT-ZONE,NO,NO,NORMAL,
VPN-00014,2026-06-22T08:26:48Z,V002,ACC0008,192.0.2.24,DEV0015,SUCCESS,YES,60,NetworkVendor,YARD-B,NO,NO,NORMAL,
VPN-00015,2026-06-21T23:25:43Z,V006,ACC0056,192.0.2.25,DEV0011,SUCCESS,YES,71,CraneVendor,GATE-B,YES,NO,NORMAL,
VPN-00016,2026-06-10T20:20:00Z,V009,ACC0057,192.0.2.26,DEV0013,SUCCESS,YES,138,MaintenanceVendor,GATE-B,YES,NO,NORMAL,
VPN-00017,2026-06-14T21:59:43Z,V006,ACC0056,192.0.2.27,DEV0011,SUCCESS,YES,100,CraneVendor,GATE-A,YES,NO,NORMAL,
VPN-00018,2026-06-15T03:03:09Z,V016,ACC0026,192.0.2.28,DEV0051,SUCCESS,YES,75,CraneVendor,YARD-B,YES,NO,NORMAL,
VPN-00019,2026-06-14T17:31:48Z,V006,ACC0036,192.0.2.29,DEV0071,SUCCESS,YES,66,CraneVendor,CONTROL-ROOM,NO,NO,NORMAL,
VPN-00020,2026-06-04T19:52:50Z,V020,ACC0034,192.0.2.30,DEV0067,SUCCESS,YES,127,AutomationVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00021,2026-06-24T00:12:36Z,V005,ACC0029,192.0.2.31,DEV0057,SUCCESS,YES,110,AutomationVendor,CRANE-ZONE,YES,NO,NORMAL,
VPN-00022,2026-06-11T20:32:02Z,V007,ACC0003,192.0.2.32,DEV0005,SUCCESS,YES,76,NetworkVendor,GATE-B,YES,NO,NORMAL,
VPN-00023,2026-06-09T12:25:16Z,V001,ACC0041,192.0.2.33,DEV0081,SUCCESS,YES,159,CraneVendor,YARD-A,NO,NO,NORMAL,
