event_id,timestamp,vendor_id,account_id,device_id,auth_result,MFA_status,role,access_zone,off_hours,new_device,event_label,incident_id,risk_probability,predicted_label,actual_binary
VPN-00877,2026-06-05 22:39:00+00:00,V014,ACC0014,DEV0099,SUCCESS,FAILED,AutomationVendor,OT-ZONE,YES,YES,SUSPICIOUS,INC-T21-001,0.9764903858654764,NON_NORMAL,1
VPN-00985,2026-06-26 22:46:12+00:00,V017,ACC0033,DEV0065,SUCCESS,NO,NetworkVendor,OT-ZONE,YES,NO,SUSPICIOUS,,0.9738419826483327,NON_NORMAL,1
VPN-00137,2026-06-18 23:05:00+00:00,V019,ACC0058,DEV0087,FAILURE,NO,NetworkVendor,CONTROL-ROOM,YES,YES,SUSPICIOUS,INC-T21-003,0.9647892282399022,NON_NORMAL,1
VPN-01077,2026-06-24 19:38:00+00:00,V011,ACC0044,DEV0076,SUCCESS,NO,AutomationVendor,YARD-A,NO,YES,SUSPICIOUS,INC-T21-004,0.9602268905647454,NON_NORMAL,1
VPN-00445,2026-06-29 03:12:05+00:00,V014,ACC0012,DEV0023,SUCCESS,NO,MaintenanceVendor,OT-ZONE,YES,NO,SUSPICIOUS,,0.9579293324349785,NON_NORMAL,1
VPN-01265,2026-06-03 02:01:29+00:00,V004,ACC0022,DEV0043,FAILURE,NO,MaintenanceVendor,YARD-B,YES,NO,SUSPICIOUS,,0.956637939542735,NON_NORMAL,1
VPN-01289,2026-06-20 01:59:35+00:00,V006,ACC0056,DEV0011,SUCCESS,NO,CraneVendor,GATE-B,YES,NO,SUSPICIOUS,,0.9523570339838717,NON_NORMAL,1
VPN-01731,2026-06-02 05:13:07+00:00,V008,ACC0030,DEV0059,FAILURE,NO,YardVendor,CRANE-ZONE,YES,NO,SUSPICIOUS,,0.9473346527462797,NON_NORMAL,1
VPN-00717,2026-06-18 21:47:14+00:00,V015,ACC0039,DEV0077,SUCCESS,FAILED,AutomationVendor,YARD-A,YES,NO,SUSPICIOUS,,0.9386991151646821,NON_NORMAL,1
VPN-01691,2026-06-27 09:15:40+00:00,V020,ACC0034,DEV0067,FAILURE,NO,AutomationVendor,CRANE-ZONE,NO,NO,SUSPICIOUS,,0.9358812230913164,NON_NORMAL,1
VPN-01421,2026-06-20 04:01:24+00:00,V003,ACC0035,DEV0069,SUCCESS,NO,YardVendor,CONTROL-ROOM,YES,NO,SUSPICIOUS,,0.9310739765715252,NON_NORMAL,1
VPN-01658,2026-06-21 06:52:50+00:00,V017,ACC0033,DEV0065,FAILURE,FAILED,NetworkVendor,YARD-B,NO,NO,SUSPICIOUS,,0.9244358427524473,NON_NORMAL,1
VPN-00369,2026-06-18 23:15:36+00:00,V002,ACC0028,DEV0055,SUCCESS,NO,NetworkVendor,CRANE-ZONE,YES,NO,SUSPICIOUS,,0.9243204485594229,NON_NORMAL,1
VPN-00167,2026-06-17 00:07:00+00:00,V004,ACC0022,DEV0043,SUCCESS,FAILED,MaintenanceVendor,OT-ZONE,YES,NO,SUSPICIOUS,,0.9144486350277864,NON_NORMAL,1
VPN-00077,2026-06-14 23:01:37+00:00,V020,ACC0034,DEV0067,FAILURE,FAILED,AutomationVendor,GATE-A,YES,NO,SUSPICIOUS,,0.913638483266909,NON_NORMAL,1
VPN-01005,2026-06-04 04:34:05+00:00,V013,ACC0045,DEV0089,SUCCESS,FAILED,YardVendor,CONTROL-ROOM,YES,NO,SUSPICIOUS,,0.9077627310534714,NON_NORMAL,1
VPN-00610,2026-06-16 06:42:06+00:00,V007,ACC0043,DEV0085,FAILURE,FAILED,NetworkVendor,YARD-A,NO,NO,SUSPICIOUS,,0.9064252361956497,NON_NORMAL,1
VPN-01249,2026-06-14 21:32:53+00:00,V003,ACC0055,DEV0009,SUCCESS,FAILED,YardVendor,YARD-B,YES,NO,SUSPICIOUS,,0.8922758471871656,NON_NORMAL,1
VPN-01504,2026-06-02 19:54:01+00:00,V014,ACC0032,DEV0063,SUCCESS,FAILED,MaintenanceVendor,OT-ZONE,NO,NO,SUSPICIOUS,,0.868233273626622,NON_NORMAL,1
VPN-01174,2026-06-05 05:49:42+00:00,V009,ACC0057,DEV0013,SUCCESS,FAILED,MaintenanceVendor,GATE-B,YES,NO,SUSPICIOUS,,0.8676513608386648,NON_NORMAL,1
VPN-00434,2026-06-10 23:01:58+00:00,V018,ACC0040,DEV0079,SUCCESS,YES,YardVendor,CONTROL-ROOM,YES,NO,SUSPICIOUS,,0.8205284631712335,NON_NORMAL,1
VPN-01704,2026-06-17 20:28:48+00:00,V005,ACC0009,DEV0017,SUCCESS,YES,AutomationVendor,OT-ZONE,YES,NO,SUSPICIOUS,,0.8157716112422327,NON_NORMAL,1
VPN-01180,2026-06-16 00:05:12+00:00,V004,ACC0042,DEV0083,SUCCESS,NO,MaintenanceVendor,YARD-B,YES,NO,SUSPICIOUS,,0.810520040904062,NON_NORMAL,1
VPN-00129,2026-06-05 22:49:00+00:00,V014,ACC0014,DEV0099,SUCCESS,FAILED,AutomationVendor,GATE-A,YES,YES,SUSPICIOUS,INC-T21-001,0.7210130319601008,NON_NORMAL,1
VPN-01544,2026-06-24 19:35:00+00:00,V011,ACC0044,DEV0076,SUCCESS,NO,AutomationVendor,YARD-A,NO,YES,SUSPICIOUS,INC-T21-004,0.6669289035055339,NON_NORMAL,1
VPN-00642,2026-06-15 07:19:32+00:00,V017,ACC0053,DEV0005,FAILURE,FAILED,NetworkVendor,YARD-A,NO,NO,NORMAL,,0.5679098211852597,NON_NORMAL,0
VPN-00612,2026-06-05 04:03:55+00:00,V003,ACC0035,DEV0069,SUCCESS,FAILED,YardVendor,GATE-A,YES,NO,NORMAL,,0.40704664028517307,NORMAL,0
VPN-01223,2026-06-10 02:43:09+00:00,V012,ACC0018,DEV0035,SUCCESS,FAILED,NetworkVendor,YARD-C,YES,NO,NORMAL,,0.3989981407187504,NORMAL,0
VPN-01633,2026-06-24 03:16:21+00:00,V003,ACC0035,DEV0069,SUCCESS,FAILED,YardVendor,CONTROL-ROOM,YES,NO,NORMAL,,0.38690734654607495,NORMAL,0
VPN-01071,2026-06-05 03:52:07+00:00,V019,ACC0047,DEV0093,FAILURE,YES,MaintenanceVendor,YARD-A,YES,NO,NORMAL,,0.3463842292099659,NORMAL,0
VPN-01505,2026-06-02 20:01:59+00:00,V003,ACC0035,DEV0069,SUCCESS,FAILED,YardVendor,CONTROL-ROOM,YES,NO,NORMAL,,0.3460333038862473,NORMAL,0
VPN-01278,2026-06-10 01:15:06+00:00,V015,ACC0039,DEV0077,SUCCESS,YES,AutomationVendor,GATE-B,YES,NO,NORMAL,,0.33409269168364014,NORMAL,0
VPN-01662,2026-06-13 21:03:11+00:00,V019,ACC0007,DEV0013,FAILURE,YES,MaintenanceVendor,YARD-B,YES,NO,NORMAL,,0.3337145105005625,NORMAL,0
VPN-00678,2026-06-05 22:54:44+00:00,V014,ACC0052,DEV0003,SUCCESS,FAILED,MaintenanceVendor,YARD-A,YES,NO,NORMAL,,0.3327224561964354,NORMAL,0
VPN-00366,2026-06-24 01:00:12+00:00,V014,ACC0012,DEV0023,SUCCESS,FAILED,MaintenanceVendor,GATE-B,YES,NO,NORMAL,,0.32822585138659527,NORMAL,0
VPN-00814,2026-06-24 04:56:49+00:00,V004,ACC0022,DEV0043,SUCCESS,FAILED,MaintenanceVendor,YARD-C,YES,NO,NORMAL,,0.308487163710646,NORMAL,0
VPN-00230,2026-06-30 22:53:28+00:00,V017,ACC0033,DEV0065,SUCCESS,FAILED,NetworkVendor,OT-ZONE,YES,NO,NORMAL,,0.2976590940863233,NORMAL,0
VPN-00075,2026-06-25 02:24:13+00:00,V005,ACC0049,DEV0097,SUCCESS,FAILED,AutomationVendor,YARD-B,YES,NO,NORMAL,,0.2931059794121207,NORMAL,0
