event_id,timestamp,vendor_id,account_id,device_id,auth_result,MFA_status,role,access_zone,off_hours,new_device,event_label,incident_id,risk_probability,predicted_label,actual_binary
VPN-00877,2026-06-05 22:39:00+00:00,V014,ACC0014,DEV0099,SUCCESS,FAILED,AutomationVendor,OT-ZONE,YES,YES,SUSPICIOUS,INC-T21-001,0.9764903858654764,NON_NORMAL,1
VPN-00985,2026-06-26 22:46:12+00:00,V017,ACC0033,DEV0065,SUCCESS,NO,NetworkVendor,OT-ZONE,YES,NO,SUSPICIOUS,,0.9738419826483327,NON_NORMAL,1
VPN-00137,2026-06-18 23:05:00+00:00,V019,ACC0058,DEV0087,FAILURE,NO,NetworkVendor,CONTROL-ROOM,YES,YES,SUSPICIOUS,INC-T21-003,0.9647892282399022,NON_NORMAL,1
VPN-01077,2026-06-24 19:38:00+00:00,V011,ACC0044,DEV0076,SUCCESS,NO,AutomationVendor,YARD-A,NO,YES,SUSPICIOUS,INC-T21-004,0.9602268905647454,NON_NORMAL,1
VPN-00445,2026-06-29 03:12:05+00:00,V014,ACC0012,DEV0023,SUCCESS,NO,MaintenanceVendor,OT-ZONE,YES,NO,SUSPICIOUS,,0.9579293324349785,NON_NORMAL,1
VPN-01265,2026-06-03 02:01:29+00:00,V004,ACC0022,DEV0043,FAILURE,NO,MaintenanceVendor,YARD-B,YES,NO,SUSPICIOUS,,0.956637939542735,NON_NORMAL,1
VPN-01289,2026-06-20 01:59:35+00:00,V006,ACC0056,DEV0011,SUCCESS,NO,CraneVendor,GATE-B,YES,NO,SUSPICIOUS,,0.9523570339838717,NON_NORMAL,1
VPN-01731,2026-06-02 05:13:07+00:00,V008,ACC0030,DEV0059,FAILURE,NO,YardVendor,CRANE-ZONE,YES,NO,SUSPICIOUS,,0.9473346527462797,NON_NORMAL,1
VPN-00717,2026-06-18 21:47:14+00:00,V015,ACC0039,DEV0077,SUCCESS,FAILED,AutomationVendor,YARD-A,YES,NO,SUSPICIOUS,,0.9386991151646821,NON_NORMAL,1
VPN-01691,2026-06-27 09:15:40+00:00,V020,ACC0034,DEV0067,FAILURE,NO,AutomationVendor,CRANE-ZONE,NO,NO,SUSPICIOUS,,0.9358812230913164,NON_NORMAL,1
VPN-01421,2026-06-20 04:01:24+00:00,V003,ACC0035,DEV0069,SUCCESS,NO,YardVendor,CONTROL-ROOM,YES,NO,SUSPICIOUS,,0.9310739765715252,NON_NORMAL,1
VPN-01658,2026-06-21 06:52:50+00:00,V017,ACC0033,DEV0065,FAILURE,FAILED,NetworkVendor,YARD-B,NO,NO,SUSPICIOUS,,0.9244358427524473,NON_NORMAL,1
VPN-00369,2026-06-18 23:15:36+00:00,V002,ACC0028,DEV0055,SUCCESS,NO,NetworkVendor,CRANE-ZONE,YES,NO,SUSPICIOUS,,0.9243204485594229,NON_NORMAL,1
VPN-00167,2026-06-17 00:07:00+00:00,V004,ACC0022,DEV0043,SUCCESS,FAILED,MaintenanceVendor,OT-ZONE,YES,NO,SUSPICIOUS,,0.9144486350277864,NON_NORMAL,1
VPN-00077,2026-06-14 23:01:37+00:00,V020,ACC0034,DEV0067,FAILURE,FAILED,AutomationVendor,GATE-A,YES,NO,SUSPICIOUS,,0.913638483266909,NON_NORMAL,1
