note_id,timestamp,asset_id,vendor_id,category,priority,event_label,incident_id,free_text,risk_probability,predicted_risk
NOTE-00064,2026-06-29 23:31:05+00:00,PLC08,V007,CARGO_ANOMALY,HIGH,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00060,2026-06-19 22:49:21+00:00,YARD-06,V017,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00256,2026-06-08 15:26:09+00:00,YARD-03,V017,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00043,2026-06-16 13:10:12+00:00,PLC09,V001,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00050,2026-06-22 01:28:33+00:00,CRANE08,V012,OT_ANOMALY,CRITICAL,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00093,2026-06-06 11:18:23+00:00,PLC12,V014,OT_ANOMALY,CRITICAL,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00104,2026-06-25 14:39:22+00:00,CRANE04,V006,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00098,2026-06-24 16:38:00+00:00,CRANE06,V014,SECURITY_REVIEW,HIGH,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00231,2026-06-08 16:47:31+00:00,PLC12,V006,SUSPICIOUS_ACCESS,CRITICAL,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00135,2026-06-09 06:11:51+00:00,CRANE07,V005,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00078,2026-06-03 17:46:36+00:00,YARD-03,V014,OT_ANOMALY,HIGH,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00195,2026-06-01 20:08:39+00:00,YARD-06,V004,SECURITY_REVIEW,HIGH,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00190,2026-06-15 23:45:51+00:00,PLC08,V013,SECURITY_REVIEW,CRITICAL,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00175,2026-06-26 20:17:56+00:00,PLC06,V009,CARGO_ANOMALY,HIGH,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00174,2026-06-21 18:17:00+00:00,CRANE01,V003,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00107,2026-06-12 03:55:00+00:00,PLC01,V019,SUSPICIOUS_ACCESS,CRITICAL,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00291,2026-06-07 07:31:49+00:00,PLC04,V003,OT_ANOMALY,CRITICAL,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00018,2026-06-09 12:15:47+00:00,PLC04,V015,SECURITY_REVIEW,HIGH,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00033,2026-06-03 18:47:11+00:00,PLC01,V019,SUSPICIOUS_ACCESS,CRITICAL,SUSPICIOUS,,Unexpected vendor remote session observed outside the approved maintenance window.,0.9142843925014429,1
NOTE-00245,2026-06-11 03:34:20+00:00,PLC08,V009,OT_ANOMALY,HIGH,SUSPICIOUS,,Crane alarm occurred shortly after an unusual remote connection to the OT segment.,0.8924361581334975,1
NOTE-00037,2026-06-27 12:15:36+00:00,CRANE05,V018,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,,Crane alarm occurred shortly after an unusual remote connection to the OT segment.,0.8924361581334975,1
NOTE-00163,2026-06-29 07:56:50+00:00,CRANE03,V010,SECURITY_REVIEW,CRITICAL,SUSPICIOUS,,Crane alarm occurred shortly after an unusual remote connection to the OT segment.,0.8924361581334975,1
NOTE-00215,2026-06-29 13:42:04+00:00,CRANE03,V005,CARGO_ANOMALY,HIGH,SUSPICIOUS,,Crane alarm occurred shortly after an unusual remote connection to the OT segment.,0.8924361581334975,1
NOTE-00295,2026-06-30 10:26:41+00:00,PLC05,V015,CARGO_ANOMALY,HIGH,SUSPICIOUS,,Crane alarm occurred shortly after an unusual remote connection to the OT segment.,0.8924361581334975,1
NOTE-00092,2026-06-27 03:40:23+00:00,PLC04,V016,SUSPICIOUS_ACCESS,CRITICAL,SUSPICIOUS,,Crane alarm occurred shortly after an unusual remote connection to the OT segment.,0.8924361581334975,1
NOTE-00099,2026-06-09 20:08:02+00:00,PLC12,V018,OT_ANOMALY,CRITICAL,SUSPICIOUS,,Crane alarm occurred shortly after an unusual remote connection to the OT segment.,0.8924361581334975,1
NOTE-00200,2026-06-13 18:25:04+00:00,YARD-05,V009,CARGO_ANOMALY,HIGH,SUSPICIOUS,,Crane alarm occurred shortly after an unusual remote connection to the OT segment.,0.8924361581334975,1
NOTE-00202,2026-06-30 09:25:09+00:00,YARD-07,V015,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,,Crane alarm occurred shortly after an unusual remote connection to the OT segment.,0.8924361581334975,1
NOTE-00076,2026-06-01 04:12:53+00:00,YARD-02,V015,CARGO_ANOMALY,CRITICAL,SUSPICIOUS,,Crane alarm occurred shortly after an unusual remote connection to the OT segment.,0.8924361581334975,1
NOTE-00005,2026-06-14 09:32:35+00:00,CRANE01,V017,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,,Repeated controller commands were observed during a vendor session; operations requested review.,0.8773646258858223,1
NOTE-00068,2026-06-01 10:47:17+00:00,CRANE05,V019,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,,Repeated controller commands were observed during a vendor session; operations requested review.,0.8773646258858223,1
