term,coefficient,abs_coefficient
completed,-1.1753395808498823,1.1753395808498823
maintenance,-1.021896768369204,1.021896768369204
completed approved,-0.8942284501567938,0.8942284501567938
maintenance completed,-0.8942284501567938,0.8942284501567938
crane maintenance,-0.8942284501567938,0.8942284501567938
crane,-0.8344501305747647,0.8344501305747647
closed normally,-0.7898733035104352,0.7898733035104352
closed,-0.7898733035104352,0.7898733035104352
firmware verification,-0.7898733035104352,0.7898733035104352
firmware,-0.7898733035104352,0.7898733035104352
normally,-0.7898733035104352,0.7898733035104352
normally firmware,-0.7898733035104352,0.7898733035104352
session closed,-0.7898733035104352,0.7898733035104352
verification,-0.7898733035104352,0.7898733035104352
controller communication,-0.696155133548583,0.696155133548583
communication stable,-0.696155133548583,0.696155133548583
scheduled,-0.696155133548583,0.696155133548583
stable,-0.696155133548583,0.696155133548583
scheduled maintenance,-0.696155133548583,0.696155133548583
stable scheduled,-0.696155133548583,0.696155133548583
