term,coefficient,abs_coefficient
remote,1.3600924143407982,1.3600924143407982
unexpected,0.8888946505244046,0.8888946505244046
remote session,0.8888946505244046,0.8888946505244046
outside,0.8888946505244046,0.8888946505244046
vendor remote,0.8888946505244046,0.8888946505244046
unexpected vendor,0.8888946505244046,0.8888946505244046
observed outside,0.8888946505244046,0.8888946505244046
outside approved,0.8888946505244046,0.8888946505244046
session observed,0.8888946505244046,0.8888946505244046
vendor,0.8060027472416355,0.8060027472416355
commands,0.7000259121502381,0.7000259121502381
controller commands,0.7000259121502381,0.7000259121502381
review,0.7000259121502381,0.7000259121502381
activity,0.6678124812435091,0.6678124812435091
occurred,0.658904372387556,0.658904372387556
unusual,0.658904372387556,0.658904372387556
endpoint,0.5879913717723574,0.5879913717723574
observed vendor,0.5393639774433531,0.5393639774433531
repeated,0.5393639774433531,0.5393639774433531
operations requested,0.5393639774433531,0.5393639774433531
