event_id,anomaly_score,anomaly_rank,event_label,risk_probability
VPN-01077,0.13710399182044541,2,SUSPICIOUS,0.9602268905647454
VPN-00137,0.12175613801707275,5,SUSPICIOUS,0.9647892282399022
VPN-01544,0.10660476288647158,8,SUSPICIOUS,0.6669289035055339
VPN-01691,0.08659092294880977,14,SUSPICIOUS,0.9358812230913164
VPN-01421,0.07950235054823551,21,SUSPICIOUS,0.9310739765715252
VPN-00369,0.07790684913559032,23,SUSPICIOUS,0.9243204485594227
VPN-00985,0.07293186284294317,30,SUSPICIOUS,0.9738419826483328
VPN-01731,0.06903954196840234,33,SUSPICIOUS,0.9473346527462796
VPN-00445,0.06812757515123025,36,SUSPICIOUS,0.9579293324349784
VPN-00877,0.06246579892742965,41,SUSPICIOUS,0.9764903858654764
VPN-01150,0.057293957368153126,42,SUSPICIOUS,0.2552173536199548
VPN-01265,0.05356913468787472,44,SUSPICIOUS,0.956637939542735
VPN-01289,0.050706932577129105,46,SUSPICIOUS,0.9523570339838716
VPN-01180,0.049170983116865186,48,SUSPICIOUS,0.810520040904062
VPN-00129,0.04500105070469074,53,SUSPICIOUS,0.7210130319601008
VPN-01174,0.033313981556162386,61,SUSPICIOUS,0.8676513608386648
VPN-01704,0.02488484439423011,66,SUSPICIOUS,0.8157716112422327
VPN-01005,0.024417475805258215,67,SUSPICIOUS,0.9077627310534714
VPN-00610,0.024247074167494498,68,SUSPICIOUS,0.9064252361956496
VPN-01249,0.01915325536953849,69,SUSPICIOUS,0.8922758471871656
VPN-00167,0.008495143199797162,73,SUSPICIOUS,0.9144486350277864
VPN-00717,0.005260900857235518,78,SUSPICIOUS,0.938699115164682
VPN-01504,0.0032905157785214634,82,SUSPICIOUS,0.868233273626622
VPN-00434,0.002678799250612096,84,SUSPICIOUS,0.8205284631712335
VPN-01706,0.001874066074511238,85,NORMAL,0.007657647487082
VPN-01663,-0.0019873787445240376,93,NORMAL,0.0364973059732067
VPN-00317,-0.005079301638008293,100,NORMAL,0.027740602674861
VPN-00468,-0.005234231827702218,102,NORMAL,0.0180786462328427
VPN-00907,-0.005389977106762256,104,NORMAL,0.0095884469418105
VPN-00943,-0.0062309918605888415,108,NORMAL,0.0235881129885941
VPN-00453,-0.0066435840512104605,110,NORMAL,0.030720034786742
