event_id,timestamp,vendor_id,account_id,device_id,auth_result,MFA_status,session_duration_sec,role,access_zone,off_hours,new_device,event_label,incident_id,anomaly_score,anomaly_flag
VPN-01049,2026-06-18 23:09:00+00:00,V019,ACC0058,DEV0087,SUCCESS,NO,417,NetworkVendor,GATE-B,YES,YES,SUSPICIOUS,INC-T21-003,0.13872475594600697,1
VPN-01077,2026-06-24 19:38:00+00:00,V011,ACC0044,DEV0076,SUCCESS,NO,370,AutomationVendor,YARD-A,NO,YES,SUSPICIOUS,INC-T21-004,0.13710399182044541,1
VPN-00254,2026-06-18 23:09:00+00:00,V019,ACC0058,DEV0087,SUCCESS,NO,367,NetworkVendor,GATE-A,YES,YES,SUSPICIOUS,INC-T21-003,0.13665971304394076,1
VPN-00622,2026-06-24 19:39:00+00:00,V011,ACC0044,DEV0076,SUCCESS,NO,236,AutomationVendor,CRANE-ZONE,NO,YES,SUSPICIOUS,INC-T21-004,0.12309489429244225,1
VPN-00137,2026-06-18 23:05:00+00:00,V019,ACC0058,DEV0087,FAILURE,NO,297,NetworkVendor,CONTROL-ROOM,YES,YES,SUSPICIOUS,INC-T21-003,0.12175613801707275,1
VPN-01723,2026-06-05 22:47:00+00:00,V014,ACC0014,DEV0099,SUCCESS,NO,270,AutomationVendor,YARD-B,YES,YES,SUSPICIOUS,INC-T21-001,0.11526917350498267,1
VPN-01652,2026-06-04 16:18:30+00:00,V008,ACC0050,DEV0099,SUCCESS,NO,276,YardVendor,YARD-B,NO,YES,SUSPICIOUS,,0.11362393674216242,1
VPN-01544,2026-06-24 19:35:00+00:00,V011,ACC0044,DEV0076,SUCCESS,NO,147,AutomationVendor,YARD-A,NO,YES,SUSPICIOUS,INC-T21-004,0.10660476288647158,1
VPN-01630,2026-06-12 01:16:00+00:00,V006,ACC0031,DEV0062,SUCCESS,NO,130,CraneVendor,GATE-A,YES,YES,SUSPICIOUS,INC-T21-002,0.10321956705856761,1
VPN-01361,2026-06-18 23:10:00+00:00,V019,ACC0058,DEV0087,FAILURE,FAILED,390,NetworkVendor,OT-ZONE,YES,YES,SUSPICIOUS,INC-T21-003,0.09702813717405678,1
VPN-01055,2026-06-04 10:14:12+00:00,V006,ACC0036,DEV0071,SUCCESS,NO,415,CraneVendor,YARD-C,NO,NO,SUSPICIOUS,,0.09494051841255569,1
VPN-00199,2026-06-04 03:09:35+00:00,V017,ACC0013,DEV0025,SUCCESS,NO,409,NetworkVendor,YARD-C,YES,NO,SUSPICIOUS,,0.08995357860373032,1
VPN-00971,2026-06-16 00:09:12+00:00,V002,ACC0008,DEV0015,FAILURE,NO,378,NetworkVendor,CONTROL-ROOM,YES,NO,SUSPICIOUS,,0.0888560242227231,1
VPN-01691,2026-06-27 09:15:40+00:00,V020,ACC0034,DEV0067,FAILURE,NO,399,AutomationVendor,CRANE-ZONE,NO,NO,SUSPICIOUS,,0.08659092294880977,1
VPN-00441,2026-06-27 03:16:03+00:00,V020,ACC0034,DEV0067,SUCCESS,NO,379,AutomationVendor,YARD-C,YES,NO,SUSPICIOUS,,0.0863674303281543,1
