vendor_id,sessions,anomalies,anomaly_rate,mean_score,max_score,anomaly_rate_pct
V014,91,11,0.12087912087912088,-0.01255072584067959,0.11526917350498267,12.087912087912088
V004,72,8,0.1111111111111111,-0.01622346550769194,0.08180399800233973,11.11111111111111
V019,83,9,0.10843373493975904,-0.010543639370868241,0.13872475594600697,10.843373493975903
V006,97,9,0.09278350515463918,-0.021280174797059476,0.10321956705856761,9.278350515463918
V008,69,6,0.08695652173913043,-0.016432212685651038,0.11362393674216242,8.695652173913043
V007,99,7,0.0707070707070707,-0.025572921692321678,0.08611214788303401,7.07070707070707
V011,99,6,0.06060606060606061,-0.023100480938179447,0.13710399182044541,6.0606060606060606
V002,103,5,0.04854368932038835,-0.025688040411260785,0.0888560242227231,4.854368932038835
V018,89,4,0.0449438202247191,-0.022306311673652816,0.044143309266027275,4.49438202247191
V009,80,3,0.0375,-0.020871110942031833,0.08264885128718735,3.75
V015,84,3,0.03571428571428571,-0.025032048620765537,0.052047660188299205,3.571428571428571
V017,86,3,0.03488372093023256,-0.0275381849547894,0.08995357860373032,3.488372093023256
V003,94,3,0.031914893617021274,-0.023224445631709247,0.07950235054823551,3.1914893617021276
V010,80,2,0.025,-0.024690466517023626,0.005525973667270034,2.5
V005,85,2,0.023529411764705882,-0.022673552951860892,0.06348466131078034,2.3529411764705883
V013,90,2,0.022222222222222223,-0.024941836489713327,0.024417475805258215,2.2222222222222223
V012,93,2,0.021505376344086023,-0.02725561372091726,0.030485803895601293,2.1505376344086025
V020,95,2,0.021052631578947368,-0.020183341905902385,0.08659092294880977,2.1052631578947367
V016,101,2,0.019801980198019802,-0.029279109215278345,0.04630031771824228,1.9801980198019802
V001,110,1,0.00909090909090909,-0.029204983001764974,0.0405699134904256,0.9090909090909091
