vendor_id,sessions,non_normal_events,non_normal_rate,off_hours_rate,new_device_rate,failed_auth_count,median_session_sec,non_normal_rate_pct
V014,91,12,0.13186813186813187,0.5494505494505495,0.054945054945054944,6,109.0,13.186813186813188
V019,83,10,0.12048192771084337,0.4819277108433735,0.060240963855421686,7,103.0,12.048192771084338
V006,97,11,0.1134020618556701,0.44329896907216493,0.041237113402061855,2,93.0,11.34020618556701
V004,72,8,0.1111111111111111,0.4444444444444444,0.0,3,126.0,11.11111111111111
V008,69,6,0.08695652173913043,0.36231884057971014,0.028985507246376812,3,104.0,8.695652173913043
V017,86,7,0.08139534883720931,0.3372093023255814,0.0,5,103.0,8.13953488372093
V007,99,7,0.0707070707070707,0.45454545454545453,0.0,8,107.0,7.07070707070707
V003,94,5,0.05319148936170213,0.44680851063829785,0.0,0,89.0,5.319148936170213
V020,95,5,0.05263157894736842,0.49473684210526314,0.0,4,85.0,5.263157894736842
V011,99,5,0.050505050505050504,0.45454545454545453,0.04040404040404041,3,99.0,5.05050505050505
V002,103,5,0.04854368932038835,0.3106796116504854,0.0,4,81.0,4.854368932038835
V015,84,4,0.047619047619047616,0.4166666666666667,0.0,4,91.0,4.761904761904762
V018,89,4,0.0449438202247191,0.39325842696629215,0.0,0,101.0,4.49438202247191
V016,101,4,0.039603960396039604,0.2871287128712871,0.0,5,107.0,3.9603960396039604
V005,85,3,0.03529411764705882,0.4235294117647059,0.0,2,105.0,3.5294117647058822
V013,90,3,0.03333333333333333,0.45555555555555555,0.0,2,94.5,3.3333333333333335
V012,93,3,0.03225806451612903,0.3978494623655914,0.0,3,65.0,3.225806451612903
V009,80,2,0.025,0.325,0.0,2,117.5,2.5
V010,80,1,0.0125,0.3125,0.0,1,98.5,1.25
V001,110,1,0.00909090909090909,0.4636363636363636,0.0,3,94.0,0.9090909090909091
