feature,importance
cat__MFA_status_YES,0.2507500724817847
cat__MFA_status_NO,0.13175301982362128
cat__MFA_status_FAILED,0.06880128653985294
remainder__hours_since_previous,0.05350912438873297
cat__auth_result_SUCCESS,0.04456155360447347
cat__off_hours_NO,0.043434703270814105
remainder__prior_mean_duration_24h,0.03631573578101964
cat__auth_result_FAILURE,0.0342653551133638
cat__off_hours_YES,0.03135404082901777
cat__new_device_YES,0.021220689122409403
cat__new_device_NO,0.01733882536572413
remainder__prior_sessions_24h,0.015965506825963434
remainder__prior_offhours_24h,0.01578708528749618
cat__access_zone_YARD-B,0.01116406989808299
cat__access_zone_OT-ZONE,0.00871024988057949
