event_id,timestamp,vendor_id,account_id,role,access_zone,target,risk_probability,predicted_label
VPN-01652,2026-06-04 16:18:30+00:00,V008,ACC0050,YardVendor,YARD-B,1,0.8987010411863166,HIGH_RISK
VPN-00419,2026-06-28 04:25:12+00:00,V014,ACC0052,MaintenanceVendor,GATE-B,1,0.8932591245080698,HIGH_RISK
VPN-01421,2026-06-20 04:01:24+00:00,V003,ACC0035,YardVendor,CONTROL-ROOM,1,0.8886680487010703,HIGH_RISK
VPN-00780,2026-06-30 03:19:11+00:00,V019,ACC0027,MaintenanceVendor,YARD-B,1,0.8827665769686396,HIGH_RISK
VPN-00399,2026-06-17 21:03:09+00:00,V019,ACC0047,MaintenanceVendor,OT-ZONE,1,0.8356821957278507,HIGH_RISK
VPN-00441,2026-06-27 03:16:03+00:00,V020,ACC0034,AutomationVendor,YARD-C,1,0.8352735877271148,HIGH_RISK
VPN-00590,2026-06-14 20:02:38+00:00,V010,ACC0004,AutomationVendor,CONTROL-ROOM,0,0.8019512321930782,HIGH_RISK
VPN-01164,2026-06-21 05:08:04+00:00,V015,ACC0059,AutomationVendor,GATE-B,1,0.777764180193603,HIGH_RISK
VPN-01544,2026-06-24 19:35:00+00:00,V011,ACC0044,AutomationVendor,YARD-A,1,0.757328123348506,HIGH_RISK
VPN-00369,2026-06-18 23:15:36+00:00,V002,ACC0028,NetworkVendor,CRANE-ZONE,1,0.7482046388858238,HIGH_RISK
VPN-01505,2026-06-02 20:01:59+00:00,V003,ACC0035,YardVendor,CONTROL-ROOM,0,0.745082094019518,HIGH_RISK
VPN-01633,2026-06-24 03:16:21+00:00,V003,ACC0035,YardVendor,CONTROL-ROOM,0,0.745082094019518,HIGH_RISK
VPN-01492,2026-06-08 03:52:00+00:00,V020,ACC0034,AutomationVendor,YARD-B,0,0.7436810890049759,HIGH_RISK
VPN-01077,2026-06-24 19:38:00+00:00,V011,ACC0044,AutomationVendor,YARD-A,1,0.7346258439240816,HIGH_RISK
VPN-00483,2026-06-10 08:44:18+00:00,V003,ACC0015,YardVendor,YARD-A,1,0.7169989626474579,HIGH_RISK
